index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
2276,2277,1,1,6,,0,50.7702,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9471,6,1,1926,2149,1425,1648,0,0,224,224
2277,2278,1,1,6,,0,50.8701,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9471,6,1,1738,1961,712,935,0,0,224,224
2278,2279,1,1,6,,0,50.8041,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9471,6,1,1862,2085,449,672,0,0,224,224
2279,2280,1,1,5,,0,50.1834,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9472,5,1,598,821,391,614,0,0,224,224
2280,2281,1,1,5,,0,49.8853,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9472,5,1,1157,1380,121,344,0,0,224,224
2281,2282,1,1,5,,0,49.9608,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9472,5,1,1013,1236,20,243,0,0,224,224
2282,2283,1,1,6,,0,48.827,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9473,6,1,715,938,825,1048,0,0,224,224
2283,2284,1,1,5,,0,47.5817,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9474,5,1,624,847,1016,1239,0,0,224,224
2284,2285,1,1,6,,0,46.4786,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9475,6,1,266,489,234,457,0,0,224,224
2285,2286,1,1,5,,0,44.106,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,1,28,0,9476,5,1,2295,2430,688,911,0,0,136,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,1,9477,6,0,0,87,688,911,136,0,88,224
2286,2287,1,1,5,,0,45.258,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9476,5,1,129,352,426,649,0,0,224,224
2287,2288,1,1,6,,0,43.0953,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9477,6,1,1764,1987,845,1068,0,0,224,224
2288,2289,1,1,6,,0,43.4427,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
